,START_LATITUDE,START_LONGITUDE
85,43.7059,-69.7443
86,43.7348,-69.6488
87,43.7344,-69.505
88,43.7227,-69.4074
89,43.8414,-69.4826
90,43.8561,-69.0831
91,43.7979,-69.1223
92,43.759,-69.1287
93,42.8608,-70.7365
94,44.3371,-68.8314
95,44.2744,-68.8911
96,43.9214,-69.1271
97,43.7972,-69.0426
98,43.7826,-68.7055
99,44.0998,-68.7686
100,44.1602,-68.7868
101,44.138,-68.7532
102,43.8968,-68.7558
103,43.9166,-68.6212
104,44.0086,-68.5556
105,43.9442,-68.4451
106,44.1677,-68.528
107,44.2811,-68.5209
108,44.3311,-68.5485
109,44.2051,-68.4365
110,44.4582,-68.2236
111,43.0037,-70.467
112,44.4315,-68.1975
113,44.2993,-68.1255
114,44.3501,-68.1125
115,44.0262,-68.2184
116,44.0251,-68.3019
117,44.0543,-68.1338
118,44.1381,-67.945
119,44.1456,-68.0246
120,43.3037,-70.5095
121,44.4016,-67.0365
122,43.296,-70.4883
123,43.1544,-70.3733
124,42.9368,-70.7462
125,43.17815,-70.43558
126,43.404,-70.13835
127,43.54827,-70.28533
128,43.50862,-70.19562
129,43.41872,-70.27908
130,43.5208,-70.2486
131,43.75087,-70.084
132,43.65125,-70.09583
133,43.52168,-70.02668
134,42.91263,-70.6723
135,43.56713,-69.83483
136,43.59973,-69.87118
137,43.68597,-69.90458
138,43.6567,-69.97475
139,43.54177,-69.69105
140,43.63,-69.70035
141,43.6614,-69.79177
142,43.73375,-69.50647
143,42.94283,-70.68137
144,43.77578,-69.47787
145,43.8261,-69.48928
146,43.83643,-69.40857
147,43.74457,-69.15273
148,43.85935,-69.07097
149,43.91603,-69.13073
150,44.15262,-69.02098
151,44.14833,-68.95862
152,44.18683,-68.90237
153,44.08193,-69.0054
154,42.98203,-70.65143
155,44.29128,-68.88178
156,44.15412,-68.76457
157,43.61252,-68.93938
158,43.77167,-68.72385
159,43.78512,-68.70483
160,43.87283,-68.59247
161,43.91105,-68.62445
162,43.9127,-68.75435
163,43.93187,-68.5537
164,44.01178,-68.54995
165,44.16547,-68.53493
166,44.01908,-68.3472
167,44.0001,-68.205
168,44.05087,-68.25907
169,44.36238,-68.47905
170,44.24968,-68.43225
171,44.20588,-68.436
172,42.9966,-70.48913
173,44.44333,-68.16357
